Gene	Adj. R Squared	Slope	p-value
rno-miR-101b-3p	-0.038455333	0.040850377	0.459193114
rno-miR-505-3p	-0.039426481	0.007142909	0.462862402
rno-miR-344b-1-3p	-0.040012431	-0.084419392	0.465097219
rno-miR-488-3p	-0.041410658	0.048697311	0.470495156
rno-miR-764-5p	-0.041575115	0.123166703	0.471136184
rno-miR-708-5p	-0.042193888	0.025402909	0.473559828
rno-miR-99b-5p	-0.042459459	-0.382197523	0.474605785
rno-miR-296-3p	-0.04258436	0.006137521	0.475098912
rno-miR-489-3p	-0.04292307	0.172140039	0.476440084
rno-miR-1193-5p	-0.043233644	0.008418082	0.477674891
rno-miR-151-5p	-0.043870346	0.524995597	0.480221569
rno-miR-3585-5p	-0.045229855	0.01962844	0.485729177
rno-miR-3570	-0.047026274	0.015773539	0.493157472
rno-miR-221-3p	-0.04808492	-0.413984134	0.497618349
rno-miR-212-3p	-0.048125743	-0.189285876	0.497791637
rno-miR-17-5p	-0.048448595	0.104012168	0.499165459
rno-miR-541-5p	-0.048504884	-0.054710875	0.499405597
rno-miR-124-3p	-0.049367427	14.19739302	0.503108381
rno-miR-361-5p	-0.050036304	-0.120554415	0.506010006
rno-miR-192-5p	-0.05080522	-0.052264447	0.509378917
rno-miR-219a-5p	-0.051209836	6.914372742	0.511166255
rno-miR-106b-5p	-0.051397316	0.064819168	0.511997872
rno-miR-216b-5p	-0.052542599	-0.012304288	0.517126283
rno-miR-500-3p	-0.05267304	0.13527986	0.517715712
rno-miR-497-5p	-0.052688677	0.017890999	0.517786444
rno-miR-376b-5p	-0.052837688	0.246537502	0.518461292
rno-miR-126a-3p	-0.054306916	-3.161404547	0.525193828
rno-miR-376a-3p	-0.054567239	0.45424771	0.526401903
rno-miR-383-5p	-0.056040338	0.010929918	0.53332704
rno-miR-592	-0.056211822	-0.080120891	0.534143222
rno-miR-146b-5p	-0.057290078	-0.042329005	0.539324518
rno-miR-148b-3p	-0.05832436	-0.182029482	0.544376472
rno-miR-195-5p	-0.058522775	-0.03572663	0.545355047
rno-miR-292-3p	-0.058870627	-0.007912645	0.547078078
rno-miR-30b-5p	-0.059359344	-0.243247911	0.549515064
rno-miR-935	-0.059518303	0.004704354	0.550311846
rno-miR-352	-0.059711647	-0.015557145	0.551283734
rno-miR-34a-5p	-0.059798187	0.048466821	0.551719735
rno-miR-379-5p	-0.060069739	0.064421551	0.553091829
rno-miR-493-3p	-0.06072895	0.009440478	0.556448117
rno-miR-362-5p	-0.061497505	0.018230988	0.560407531
rno-miR-382-5p	-0.064825747	-1.512549328	0.578165726
rno-miR-224-5p	-0.064928993	0.005345543	0.578733374
rno-miR-219a-2-3p	-0.065455302	-0.715095781	0.581643565
rno-miR-26b-5p	-0.065512206	-0.115311344	0.581959883
rno-miR-128-3p	-0.066486866	-0.538764597	0.587429483
rno-miR-463-3p	-0.067128261	0.016287882	0.591083409
rno-miR-1912-5p	-0.067380905	0.022874589	0.592534888
rno-miR-434-3p	-0.067531706	-3.24913488	0.593404596
rno-miR-3074	-0.067590359	0.006895139	0.593743545
rno-miR-218a-5p	-0.06770216	-2.58666098	0.594390679
rno-miR-543-5p	-0.068215122	0.031073935	0.597377815
rno-miR-203b-5p	-0.068402723	0.008275176	0.598477732
rno-miR-3553	-0.068459193	-0.008727421	0.598809608
rno-miR-200b-3p	-0.06882412	0.011282424	0.600963197
rno-miR-196b-5p	-0.069705244	-0.014769841	0.606227924
rno-miR-3542	-0.070148558	-0.005341074	0.608912315
rno-miR-3541	-0.07065036	0.00847901	0.611980442
rno-miR-539-5p	-0.072653721	0.756370162	0.62455797
rno-miR-135a-5p	-0.073621768	6.238861312	0.630835238
rno-miR-877	-0.074766409	-0.008880878	0.638438057
rno-miR-485-5p	-0.076878816	0.0261193	0.653024719
rno-miR-3085	-0.07834933	0.007833166	0.663646659
rno-miR-876	-0.078438982	0.013075262	0.664307639
rno-miR-370-3p	-0.078931024	0.019760665	0.667964
rno-miR-340-3p	-0.079490969	-0.028245365	0.672185516
rno-miR-3549	-0.079594297	0.00877057	0.672971759
rno-miR-23a-3p	-0.079752939	-0.355819998	0.674183365
rno-miR-93-5p	-0.079824084	-0.029355589	0.674728503
rno-miR-344a-3p	-0.080195926	1.541118441	0.677595793
rno-miR-16-5p	-0.080430267	-0.697461722	0.679418696
rno-miR-125b-1-3p	-0.08048649	-0.28895309	0.679857908
rno-miR-199a-3p	-0.080958405	-0.028560279	0.683573321
rno-miR-2985	-0.081146164	-0.003415427	0.685066162
rno-miR-369-5p	-0.081934501	-0.035581496	0.691428275
rno-miR-187-3p	-0.082333178	0.08035188	0.694705757
rno-miR-300-3p	-0.082644405	-0.277449425	0.6972935
rno-miR-139-5p	-0.082724143	-1.076589679	0.697960698
rno-miR-542-3p	-0.083591659	0.010692721	0.705334463
rno-miR-878	-0.083705784	-0.008334398	0.706320663
rno-miR-29a-3p	-0.085057173	-4.727132229	0.718304666
rno-miR-742-3p	-0.08522111	-0.008116852	0.719798848
rno-miR-190a-5p	-0.085405889	-0.157879621	0.721494039
rno-miR-154-5p	-0.085567364	0.09230852	0.722985202
rno-miR-3548	-0.086102145	0.004123245	0.727990652
rno-miR-743b-3p	-0.086426582	0.004786272	0.731079237
rno-miR-322-5p	-0.086803596	0.096071566	0.734719796
rno-miR-351-5p	-0.0868745	0.004164813	0.735410818
