Target	# of miRNAs leading to upregulation	# of miRNAs leading to downregulation	Total Impact
YAP1	0	-3	-3
YARS	1	0	1
YARS2	0	-1	-1
YBX2	1	0	1
YBX3	0	-2	-2
YDJC	0	-1	-1
YEATS2	1	-1	0
YEATS4	0	-1	-1
YES1	1	-1	0
YIPF1	1	0	1
YIPF4	1	-2	-1
YIPF5	0	-2	-2
YIPF6	1	-1	0
YOD1	2	-5	-3
YPEL1	0	-1	-1
YPEL2	1	-7	-6
YPEL3	0	-1	-1
YPEL4	1	-2	-1
YPEL5	0	-1	-1
YTHDC1	1	-6	-5
YTHDC2	1	0	1
YTHDF1	0	-1	-1
YTHDF2	0	-2	-2
YTHDF3	1	-5	-4
YWHAB	0	-2	-2
YWHAG	0	-3	-3
YWHAH	1	-3	-2
YWHAQ	0	-1	-1
YWHAZ	2	-2	0
YY1	1	-6	-5
ZADH2	2	-6	-4
ZAP70	0	-1	-1
ZBED3	1	0	1
ZBED6	0	-1	-1
ZBTB1	1	0	1
ZBTB10	2	-8	-6
ZBTB11	0	-2	-2
ZBTB12	1	0	1
ZBTB14	1	-1	0
ZBTB16	3	-7	-4
ZBTB18	0	-8	-8
ZBTB2	0	-1	-1
ZBTB20	4	-17	-13
ZBTB21	1	-3	-2
ZBTB25	0	-2	-2
ZBTB26	1	-3	-2
ZBTB34	1	-8	-7
ZBTB37	3	-11	-8
ZBTB38	1	-3	-2
ZBTB39	1	-6	-5
ZBTB4	2	-5	-3
ZBTB40	1	-2	-1
ZBTB41	1	-5	-4
ZBTB42	0	-1	-1
ZBTB43	1	-3	-2
ZBTB44	1	-5	-4
ZBTB46	3	-3	0
ZBTB47	1	-5	-4
ZBTB49	0	-1	-1
ZBTB5	2	-3	-1
ZBTB6	0	-2	-2
ZBTB7A	2	-6	-4
ZBTB7B	0	-1	-1
ZBTB7C	1	-3	-2
ZBTB8A	1	-2	-1
ZBTB8B	1	-1	0
ZBTB8OS	0	-1	-1
ZBTB9	0	-3	-3
ZC2HC1A	0	-2	-2
ZC2HC1B	1	0	1
ZC3H10	1	-1	0
ZC3H11A	3	-2	1
ZC3H12B	2	-4	-2
ZC3H12C	1	-7	-6
ZC3H12D	0	-1	-1
ZC3H14	1	-1	0
ZC3H18	0	-1	-1
ZC3H3	0	-2	-2
ZC3H4	0	-1	-1
ZC3H6	1	-5	-4
ZC3H7B	1	-7	-6
ZC3HAV1	0	-2	-2
ZC3HAV1L	1	-3	-2
ZC4H2	0	-1	-1
ZCCHC11	1	-5	-4
ZCCHC14	2	-4	-2
ZCCHC16	1	0	1
ZCCHC17	2	0	2
ZCCHC2	0	-3	-3
ZCCHC24	2	-3	-1
ZCCHC3	0	-2	-2
ZCCHC5	0	-1	-1
ZDBF2	0	-2	-2
ZDHHC1	0	-2	-2
ZDHHC14	0	-1	-1
ZDHHC15	2	0	2
ZDHHC17	1	-2	-1
ZDHHC18	1	-3	-2
ZDHHC2	0	-2	-2
ZDHHC20	2	-2	0
ZDHHC21	0	-3	-3
ZDHHC23	1	-1	0
ZDHHC24	1	0	1
ZDHHC3	2	-1	1
ZDHHC5	2	-5	-3
ZDHHC7	0	-2	-2
ZDHHC8	0	-3	-3
ZDHHC9	0	-3	-3
ZEB1	0	-3	-3
ZEB2	1	-7	-6
ZER1	1	-6	-5
ZFAND3	1	-2	-1
ZFAND4	1	-2	-1
ZFAND5	0	-7	-7
ZFAT	1	-1	0
ZFC3H1	1	-3	-2
ZFHX2	1	-1	0
ZFHX3	1	-5	-4
ZFHX4	1	-5	-4
ZFP1	0	-1	-1
ZFP14	1	-1	0
ZFP2	0	-1	-1
ZFP28	1	-1	0
ZFP30	1	0	1
ZFP36	0	-2	-2
ZFP36L1	1	-2	-1
ZFP36L2	1	-7	-6
ZFP62	0	-1	-1
ZFP64	0	-1	-1
ZFP69B	1	0	1
ZFP82	0	-1	-1
ZFP90	0	-1	-1
ZFP91	2	-4	-2
ZFPL1	1	0	1
ZFPM2	1	-7	-6
ZFR	1	0	1
ZFX	2	-8	-6
ZFY	2	-4	-2
ZFYVE1	0	-2	-2
ZFYVE16	1	-2	-1
ZFYVE20	0	-1	-1
ZFYVE21	1	0	1
ZFYVE26	0	-5	-5
ZFYVE27	0	-1	-1
ZFYVE28	1	-1	0
ZFYVE9	0	-3	-3
ZHX1	2	-4	-2
ZHX2	0	-1	-1
ZHX3	3	-5	-2
ZIC1	1	-1	0
ZIC2	1	-1	0
ZIC4	2	-1	1
ZIC5	1	-4	-3
ZIK1	0	-2	-2
ZIM3	1	0	1
ZKSCAN1	1	-3	-2
ZKSCAN2	0	-2	-2
ZKSCAN3	0	-2	-2
ZKSCAN4	0	-1	-1
ZKSCAN8	1	0	1
ZMAT1	1	0	1
ZMAT2	1	0	1
ZMAT3	1	-5	-4
ZMAT4	0	-2	-2
ZMIZ1	1	-8	-7
ZMIZ2	0	-2	-2
ZMYM2	2	-9	-7
ZMYM3	1	0	1
ZMYM4	2	-2	0
ZMYND11	0	-3	-3
ZMYND8	1	0	1
ZNF106	1	-1	0
ZNF131	1	-1	0
ZNF134	1	0	1
ZNF143	0	-1	-1
ZNF146	1	-1	0
ZNF148	1	-6	-5
ZNF16	1	0	1
ZNF174	1	0	1
ZNF18	1	0	1
ZNF189	0	-1	-1
ZNF2	0	-1	-1
ZNF207	2	-4	-2
ZNF212	1	0	1
ZNF217	2	-3	-1
ZNF22	1	-1	0
ZNF226	1	0	1
ZNF23	1	-1	0
ZNF233	0	-1	-1
ZNF236	0	-5	-5
ZNF24	2	-5	-3
ZNF248	0	-1	-1
ZNF25	1	-2	-1
ZNF256	0	-2	-2
ZNF260	0	-1	-1
ZNF263	0	-1	-1
ZNF274	1	0	1
ZNF275	2	-5	-3
ZNF276	1	-1	0
ZNF280C	1	-3	-2
ZNF280D	0	-2	-2
ZNF281	2	-5	-3
ZNF282	0	-3	-3
ZNF286A	1	-1	0
ZNF286B	1	-1	0
ZNF287	1	-1	0
ZNF292	0	-4	-4
ZNF3	1	-2	-1
ZNF319	0	-1	-1
ZNF32	1	0	1
ZNF322	2	-2	0
ZNF324	0	-1	-1
ZNF326	0	-2	-2
ZNF329	0	-1	-1
ZNF341	0	-1	-1
ZNF354A	0	-2	-2
ZNF354B	1	-1	0
ZNF362	2	-4	-2
ZNF365	2	-1	1
ZNF366	1	-1	0
ZNF367	1	-3	-2
ZNF384	1	-5	-4
ZNF385A	2	-6	-4
ZNF385B	1	-1	0
ZNF385D	0	-2	-2
ZNF394	0	-1	-1
ZNF395	1	-5	-4
ZNF397	1	-2	-1
ZNF407	1	0	1
ZNF41	1	0	1
ZNF420	0	-1	-1
ZNF423	2	-2	0
ZNF436	1	-2	-1
ZNF445	1	0	1
ZNF449	2	-3	-1
ZNF45	1	-1	0
ZNF451	2	-3	-1
ZNF462	2	-3	-1
ZNF469	1	-2	-1
ZNF474	0	-2	-2
ZNF488	1	0	1
ZNF496	0	-2	-2
ZNF500	1	-1	0
ZNF503	2	-2	0
ZNF507	2	-2	0
ZNF512	1	0	1
ZNF512B	2	-4	-2
ZNF516	1	-8	-7
ZNF518B	1	-3	-2
ZNF521	1	0	1
ZNF524	1	0	1
ZNF526	1	-1	0
ZNF532	0	-4	-4
ZNF541	1	0	1
ZNF572	0	-1	-1
ZNF576	1	0	1
ZNF579	1	0	1
ZNF583	0	-2	-2
ZNF589	0	-1	-1
ZNF592	2	-4	-2
ZNF593	1	-1	0
ZNF597	0	-2	-2
ZNF598	0	-1	-1
ZNF605	0	-1	-1
ZNF606	1	0	1
ZNF608	1	-1	0
ZNF609	3	-9	-6
ZNF618	2	-5	-3
ZNF622	1	-1	0
ZNF629	0	-3	-3
ZNF638	1	-5	-4
ZNF641	0	-2	-2
ZNF644	0	-4	-4
ZNF646	1	0	1
ZNF652	1	-9	-8
ZNF654	1	-5	-4
ZNF655	0	-1	-1
ZNF660	1	0	1
ZNF664	1	-2	-1
ZNF667	0	-1	-1
ZNF668	1	0	1
ZNF672	2	0	2
ZNF687	0	-1	-1
ZNF689	0	-2	-2
ZNF691	1	0	1
ZNF697	1	-4	-3
ZNF703	2	-1	1
ZNF704	1	-7	-6
ZNF706	0	-2	-2
ZNF710	3	-3	0
ZNF711	0	-3	-3
ZNF74	1	-1	0
ZNF740	2	-1	1
ZNF746	1	-2	-1
ZNF76	0	-1	-1
ZNF770	1	-3	-2
ZNF780B	0	-1	-1
ZNF783	1	0	1
ZNF784	1	-3	-2
ZNF791	1	0	1
ZNF800	0	-4	-4
ZNF804A	0	-1	-1
ZNF804B	0	-3	-3
ZNF805	1	0	1
ZNF821	0	-1	-1
ZNF827	2	-6	-4
ZNF831	0	-1	-1
ZNF862	1	-1	0
ZNF879	0	-1	-1
ZNFX1	1	-3	-2
ZNRF1	0	-5	-5
ZNRF2	1	-6	-5
ZNRF3	1	-3	-2
ZRANB1	0	-2	-2
ZRANB2	1	0	1
ZSCAN18	0	-1	-1
ZSCAN2	1	0	1
ZSCAN21	0	-1	-1
ZSCAN29	1	0	1
ZSCAN30	2	0	2
ZSWIM2	1	0	1
ZSWIM3	1	-1	0
ZSWIM4	0	-1	-1
ZSWIM5	0	-1	-1
ZSWIM6	1	-4	-3
ZXDA	1	0	1
ZXDB	0	-1	-1
ZXDC	0	-1	-1
ZYG11B	1	0	1
ZYX	0	-1	-1
ZZEF1	2	-1	1
ZZZ3	1	-4	-3
